"","Area","Item","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2012","Y2013","Y2014","Y2015","Y2016","Y2017","Y2018","Y2019","Y2020"
"1935","Western Africa","Milk, Total",2635642,2699012,2824804,3028087,3271852,3539386,3709198,4167329,4263508,4480339,3916272,4128063,4025214,3846185,4106493,4259104,4385909,4541220,4626236,4799815,4864755
"1936","Western Africa","Pulses, Total",3169675,3737782,4072064,4294770,4061322,4778404,5051174,5169114,6080936,4730313,6984093,5371927,8631319,8499631,5897537,6243520,7932274,8077793,8472939,8479210,8932776
"1937","Western Africa","Roots and Tubers, Total",93195702,95009714,101637935,107869648,113045805,117773486,126365906,117984564,129454991,114732925,130698880,132287440,137999545,140272023,164015027,165695811,175074507,176757143,175370104,178237369,184056697
"1938","Western Africa","Sugar Crops Primary",4954472,4953993,4948839,4749599,5002342,5055920,5119845,5852396,5773009,5669806,5615724,5706851,5899494,6074801,6276559,6637367,6440221,6729074,6865741,7023452,7214672
"1939","Western Africa","Treenuts, Total",700432,761532,814382,815527,919395,1018135,1127320,1201590,1304387,1501712,1531829,1462953,1339745,1291633,1309774,1493742,1367828,1507117,1619872,1498466,1786716
"1940","Western Africa","Vegetables Primary",12656570,13064513,13544651,13733059,15423715,16151363,16650168,16121561,16990205,17019836,17730678,17258711,19532246,19839264,23086203,24474136,22934608,23546797,24891533,25859368,26528444
"1941","Americas","Cereals, Total",531447611,519943424,474982489,558217083,600730719,574896095,542120234,641446841,654061012,632621183,634597898,628585550,618275020,726424955,722497230,723037611,786498595,768280734,748938849,764849622,789387180
"1942","Americas","Citrus Fruit, Total",53954064,49840560,50975661,48231873,51270949,46731837,47319927,46868704,48828817,46929083,46192071,49635840,47467401,46649810,44548510,45226423,45646430,45340693,44126358,46213439,46076488
"1943","Americas","Eggs Primary",10552997,10901485,11015094,11108918,11430754,11772036,12390334,12395144,12611628,12982983,13259055,13661275,13727674,14317797,14809566,14890826,15302026,16460228,17060782,17498245,17774748
"1944","Americas","Fruit Primary",139313436,138739779,140450347,140944890,144996654,142806720,146019380,146960288,148920463,148113739,149794145,157158893,156071681,158590765,158018923,160024244,160270032,157239207,160492146,163914439,160537956
"1945","Americas","Meat, Total",73674773,75318060,77431715,79311866,82570548,83501806,85482293,89221048,92260264,91331526,92301650,94095245,95056196,96544691,97641342,99341737,101206311,103948890,106371133,109163337,110326091
"1946","Americas","Milk, Total",143119423,143324057,145995866,146060743,147773112,153647988,158957510,161092220,167819183,167219025,171933817,176781242,179380437,180924507,184255901,186256968,185411086,187955611,191356843,192103826,196645202
"1947","Americas","Pulses, Total",12032501,10364332,10703428,11107191,11976019,12697680,12849949,12835964,13785400,14454532,14840748,12437393,14522445,15608575,16050436,15802966,18238708,17079368,16561229,16623450,18514158
"1948","Americas","Roots and Tubers, Total",77579227,75601289,78466516,78936997,81355873,80439408,83140804,83994912,79768051,79344874,80080949,82168843,81426931,80703748,83279587,84530975,83102528,80337983,78534023,78310187,78182331
